lat,long,lugar,fecha,foto,sentido
-47.258616,-72.587018,Cochrane,19/01/26,carretera.cartel.6.jpeg,norte
-47.109938,-72.544936,Parque Patagonia,19/01/26,parque.patagonia.1.jpeg,norte
-47.110825,-72.52639,Parque Patagonia,19/01/26,parque.patagonia.2.jpeg,norte
-47.11628,-72.48358,Parque Patagonia,19/01/26,parque.patagonia.3.jpeg,norte
-47.117797,-72.485227,Parque Patagonia,19/01/26,parque.patagonia.4.jpeg,norte
-47.128372,-72.505335,Camping West Winds,19/01/26,parque.patagonia.5.jpeg,norte
-47.123578,-72.509784,Parque Patagonia,19/01/26,parque.patagonia.6.jpeg,norte
-46.890917,-72.788961,,20/01/26,carretera.16.jpeg,norte
-46.876137,-72.793463,,20/01/26,carretera.17.jpeg,norte
-46.844541,-72.802921,,20/01/26,carretera.18.jpeg,norte
-46.845006,-72.802861,,20/01/26,carretera.19.jpeg,norte
-46.135826,-72.587083,,20/01/26,carretera.20.jpeg,norte
-46.157115,-72.285431,,20/01/26,carretera.21.jpeg,norte
-46.121735,-72.16242,,20/01/26,carretera.22.jpeg,norte
-45.500066,-72.138710,,20/01/26,carretera.23.jpeg,norte
-45.04409,-72.103144,,21/01/26,carretera.24.jpeg,norte
-45.001707,-72.142467,,21/01/26,carretera.25.jpeg,norte
-44.694019,-72.539272,,21/01/26,carretera.26.jpeg,norte
-44.728483,-72.680478,,21/01/26,puerto.cisnes.5.jpeg,norte
-44.745496,-72.697541,Balneario,21/01/26,puerto.cisnes.6.jpeg,norte
-44.745428,-72.698062,Balneario,21/01/26,puerto.cisnes.7.jpeg,norte
-44.7267510507581,-72.6811546428052,,21/01/26,puerto.cisnes.8.jpeg,norte
-44.719369,-72.704094,,21/01/26,puerto.cisnes.9.jpeg,norte
-44.686234,-72.719731,,21/01/26,puerto.cisnes.10.jpeg,norte
-44.632759,-72.6938,,23/01/26,puerto.cisnes.11.jpeg,norte
-44.724317,-72.686435,,23/01/26,puerto.cisnes.12.jpeg,norte
-44.724404,-72.686653,,23/01/26,puerto.cisnes.13.jpeg,norte
-44.725572,-72.688075,,23/01/26,puerto.cisnes.14.jpeg,norte
-44.668383,-72.733033,,23/01/26,barcaza.a.chiloe.01.jpeg,
-44.234688,-73.308882,,,,
-44.582347,-72.70021,,,,
-43.95882,-73.627486,,,,
,,,,,
-43.90515,-73.745449,,23/01/26,puerto.cisnes.15.jpeg,norte
-43.183958,-73.649184,,23/01/26,barcaza.1.jpeg,norte
-43.122148,-73.621253,,23/01/26,barcaza.02.jpeg,
-43.119128,-73.620504,Jardín de mar,23/01/26,quellon.01.jpeg,
-43.133709,-73.628674,Fiesta del cordero chilote,24/01/26,quellon.02.jpeg,
-43.134994,-73.622419,,24/01/26,quellon.03.jpeg,
-43.113127,-73.710803,,24/01/26,,
-42.889319,-73.698923,,24/01/26,carretera.30.jpeg,
-42.672738,-73.800416,,25/01/26,,
-42.620971,-73.770234,,25/01/27,chonchi.01.jpeg,
-42.619003,-73.770332,,25/01/28,chonchi.02.jpeg,
-42.675005,-73.897486,,25/01/26,Capilla.Huillinco.jpeg,
-42.701325,-74.123643,Chonchi,26/01/26,chonchi.03.jpeg,
-42.7135,-74.147896,,26/01/26,chonchi.04.jpeg,
-42.713758,-74.156032,Cucao,26/01/26,cucao.01.jpeg,
-42.638841,-74.107861,Cucao,26/01/26,cucao.02.jpeg,
-42.63817,-73.721519,Puqueldon,26/01/26,puqueldon.01.jpeg,
-42.639621,-73.66883,Iglesia de Lincay,26/01/26,iglesia.lincay.01.jpeg,
-42.678324,-73.521535,camping apahuen,26/01/26,camping.apahuen.01.jpeg,
-42.678018,-73.521919,camping apahuen,26/01/26,camping.apahuen.02.jpeg,
-42.6849803,-73.5588147,"Iglesia Patrimonial Santiago Apóstol, de Detif ",28/01/26,iglesia.detif.01.jpeg,
