lat,long,lugar,fecha,foto,sentido
-38.930896,-69.188707,Plaza Huincul,04/01/26,huincul.jpeg,sur
-40.048487,-70.07701,Piedra del Águila,05/01/26,aqui.png,sur
-40.437671,-70.654729,,05/01/26,aqui.png,sur
-40.944002,-71.043627,anfiteatro,05/01/26,aqui.png,sur
-41.328763,-71.500197,lago Mascardi,05/01/26,lago.mascardi.jpeg,sur
-42.095875,-71.619905,lago Puelo,05/01/26,lago.puelo.1.jpeg,sur
-42.097463,-71.612189,lago Puelo,06/01/26,lago.puelo.2.jpeg,sur
-41.965697,-71.534853,feria artesanos El Bolsón,06/01/26,aqui.png,sur
-42.055168,-71.542527,,06/01/26,aqui.png,sur
-42.486308,-71.453012,,06/01/26,aqui.png,sur
-42.506144,-71.454769,,06/01/26,cholila.1.jpeg,sur
-42.2923074002726,-71.3535613805286,,06/01/26,cholila.2.jpeg,sur
-42.2922856072395,-71.3540605471893,incendio en Pto La Patriada,06/01/26,cholila.3.jpeg,sur
-42.919301,-71.340339,Esquel,06/01/26,,sur
-43.032402,-71.442147,Trevelin,06/01/26,trevelin.jpeg,sur
-43.092573,-71.45974,Camping El Chacay,06/01/26,aqui.png,sur
-43.0797009433654,-71.4589944841767,museo de Trevelín,07/01/26,museo.trevelin.jpeg,sur
-43.177259,-71.760005,entramos a Chile,07/01/26,paso.chile.cartel.1.jpeg,
-43.186886,-71.863151,Futaleufú,07/01/26,aqui.png,sur
-43.276095,-71.962806,,08/01/26,futaleufu.ruta.jpeg,sur
-43.369588,-72.075593,,08/01/26,futaleufu.ruta.1.jpeg,sur
-43.399158,-72.094059,,08/01/26,futaleufu.ruta.2.jpeg,
-43.413462,-72.360195,,08/01/26,carretera.cartel.1.jpeg,
-43.382566,-72.372526,,08/01/26,carretera.1.jpeg,
-42.91826,-72.712661,Chaitén,08/01/26,chalten.cartel.1.jpeg,
-42.9152829917061,-72.7041422398398,museo de sitio,08/01/26,chalten.cartel.2.jpeg,
-42.885377,-72.751202,Camping Los Arrayanes,08/01/26,camping.arrayanes.chaiten.jpeg,
-42.851694,-72.801042,Santa Bárbara,08/01/26,sta.barbara.1.jpeg,
-42.843803,-72.815349,Santa Bárbara,08/01/26,sta.barbara.2.jpeg,
-43.175895,-72.440099,Puente río Yelcho,08/01/26,puente.yelcho.jpeg,
-43.275861,-72.423292,Sendero mirador Yelcho,10/01/26,sendero.mirador.yelcho.1.jpeg,
-43.275587,-72.426686,Sendero mirador Yelcho,10/01/26,sendero.mirador.yelcho.2.jpeg,
-43.280878,-72.452909,Mirador ventisquero Yelcho,10/01/26,mirador.ventisquero.yelcho.jpeg,
-44.073873,-72.443586,"Vista Hermosa, Cisnes",10/01/26,Vista.Hermosa.Cisnes.jpeg,
-44.239478,-72.512385,"Puyuhuapi, Cisnes",10/01/26,Puyuhuapi.Cisnes.jpeg,
-44.325992,-72.558816,"Puyuhuapi, Cisnes",10/01/26,Puyuhuapi.Cisnes.1.jpeg,
-44.452332,-72.528217,Ventisquero Queulat,11/01/26,ventisquero.queluat.1.jpeg,
-44.494779,-72.5766,Fiordo Puyuhuapi,11/01/26,Fiordo.Puyuhuapi.1.jpeg,
-44.648698,-72.438031,Fin parque Nac Queulat,11/01/26,fin.parque.nac.queluat.jpeg,
-44.725891,-72.684393,Puerto Cisnes,12/01/26,puerto.cisnes.1.jpeg,
-44.726073,-72.684327,Puerto Cisnes,12/01/26,puerto.cisnes.2.jpeg,
-44.7262749179174,-72.6842653449688,Puerto Cisnes,12/01/26,puerto.cisnes.3.jpeg,
-44.750519,-72.595299,Puerto Cisnes,12/01/26,puerto.cisnes.4.jpeg,
-44.747348,-72.210427,Villa Amegual,12/01/26,,
-44.883516,-72.204417,"Las Ensenada, Coyhaique",12/01/26,Las.Ensenada.Coyhaique.jpeg,
-45.34225,-72.450516,,12/01/26,carretera.2.jpeg,
-45.40621,-72.696285,Puerto Aysen,12/01/26,,
-45.403605,-72.675677,Camping Cariblancos (Puerto Aysen),12/01/26,Puerto.Aysen.1.jpeg,
-45.404264,-72.654454,Puerto Aysen,12/01/26,,
-45.414919,-72.431838,,13/01/26,carretera.3.jpeg,
-45.571197,-72.067822,Coyhaique,13/01/26,,
-45.575038,-72.072645,Coyhaique,13/01/26,coyhaique.1.jpeg,
-46.06956,-72.034603,,13/01/26,,
-46.121334,-72.158988,Villa Cerro Castillo,13/01/26,cerro.castillo.1.jpg,
-46.21614,-71.994417,Río Ibañez,14/01/26,rio.ibaniez.1.jpeg,
-46.280516,-71.932505,Río Ibañez,14/01/26,rio.ibaniez.2.jpeg,
-46.269844,-71.972337,Río Ibañez,14/01/26,rio.ibaniez.3.jpeg,
-46.257938,-71.99479,Río Ibañez,14/01/26,rio.ibaniez.4.jpeg,
-46.252684,-71.94017,Río Ibañez,14/01/26,rio.ibaniez.6.jpeg,
-46.243506,-71.953784,Río Ibañez,14/01/26,rio.ibaniez.7.jpeg,
-46.142972,-72.154804,"museo escuela, Paredón de las manos",14/01/26,museo.ibaniez.jpeg,
-46.15794,-72.374704,,15/01/26,carretera.4.jpeg,
-46.188128,-72.764489,,15/01/26,carretera.5.jpeg,
-46.571253,-72.706544,,15/01/26,carretera.6.jpeg,
-46.624108,-72.672989,,15/01/26,,
-46.63253,-72.666314,,15/01/26,carretera.7.jpeg,
-46.618769,-72.668428,excursión catedral de marmol,16/01/26,catedral.marmol.1.jpeg,
-46.619025,-72.642598,excursión catedral de marmol,16/01/26,catedral.marmol.2.jpeg,
-46.601074,-72.609408,excursión catedral de marmol,16/01/26,,
-46.603173,-72.595456,excursión catedral de marmol,16/01/26,,
-46.610754,-72.584827,excursión catedral de marmol,16/01/26,,
-46.621463,-72.604286,excursión catedral de marmol,16/01/26,,
-46.658579,-72.628443,excursión catedral de marmol,16/01/26,,
-46.688323,-72.664516,,17/01/26,carretera.8.jpeg,
-46.694846,-72.670778,,17/01/26,carretera.9.jpeg,
-46.698632,-72.683164,,17/01/26,carretera.10.jpeg,
-46.7334,-72.784874,,17/01/26,carretera.11.jpeg,
-46.740112,-72.861393,Río León,17/01/26,rio.leon.jpeg,
-46.846129,-72.802583,desembocadura del lago Gral. Carrera,17/01/26,gral.carrera.1.jpeg,
-47.016387,-72.830396,Puerto Bertrand,17/01/26,puerto.bertrand.1.jpeg,
-47.015957,-72.831344,Puerto Bertrand,17/01/26,puerto.bertrand.2.jpeg,
-47.120862,-72.7754,Confluencia Rio Baker/Neff,17/01/26,confluencia.1.jpeg,
-47.088957,-72.774258,,17/01/26,carretera.12.jpeg,
-47.122757,-72.760142,,17/01/26,carretera.13.jpeg,
-47.127665,-72.599505,,17/01/26,carretera.cartel.2.jpeg,
-47.130358,-72.602534,,17/01/26,carretera.cartel.3.jpeg,
-47.131853,-72.603478,,17/01/26,carretera.cartel.4.jpeg,
-47.132773,-72.603862,,17/01/26,carretera.cartel.5.jpeg,
-47.133297,-72.605055,,17/01/26,carretera.14.jpeg,
