lat,long,lugar,fecha,foto,sentido
-38.930896,-69.188707,Plaza Huincul,04/01/26,huincul.jpeg,sur
-40.048487,-70.07701,Piedra del Águila,05/01/26,,sur
-40.437671,-70.654729,,05/01/26,,sur
-40.944002,-71.043627,anfiteatro,05/01/26,,sur
-41.328763,-71.500197,lago Mascardi,05/01/26,,sur
-42.095875,-71.619905,lago Puelo,05/01/26,lago.puelo.jpeg,sur
-42.097463,-71.612189,lago Puelo,06/01/26,lago.puelo.2.jpeg,sur
-41.965697,-71.534853,feria artesanos El Bolsón,06/01/26,,sur
-42.055168,-71.542527,,06/01/26,,sur
-42.486308,-71.453012,,06/01/26,,sur
-42.506144,-71.454769,,06/01/26,cholila.1.jpeg,sur
-42.2923074002726,-71.3535613805286,,06/01/26,cholila.2.jpeg,sur
-42.2922856072395,-71.3540605471893,incendio en Pto La Patriada,06/01/26,cholila.3.jpeg,sur
-43.032402,-71.442147,Trevelin,06/01/26,trevelin.jpeg,sur
-42.486308,-71.453012,Camping El Chacay,06/01/26,,sur
-43.0797009433654,-71.4589944841767,museo de Trevelín,07/01/26,museo.trevelin.jpeg,sur
-43.186886,-71.863151,Futaleufú,07/01/26,,sur
-43.276095,-71.962806,,08/01/26,futaleufu.ruta.jpeg,sur
-43.369588,-72.075593,,08/01/26,futaleufu.ruta.1.jpeg,sur
-43.399158,-72.094059,,08/01/26,futaleufu.ruta.2.jpeg,
-43.413462,-72.360195,,08/01/26,carretera.cartel.1.jpeg,
-43.382566,-72.372526,,08/01/26,carretera.1.jpeg,
-42.91826,-72.712661,Chaltén,08/01/26,chalten.cartel.1.jpeg,
-42.9152829917061,-72.7041422398398,museo de sitio,08/01/26,chalten.cartel.2.jpeg,
-42.885377,-72.751202,Camping Los Arrayanes,08/01/26,camping.arrayanes.chaiten.jpeg,
-42.851694,-72.801042,Santa Bárbara,08/01/26,sta.barbara.1.jpeg,
-42.843803,-72.815349,Santa Bárbara,08/01/26,sta.barbara.2.jpeg,
-43.175895,-72.440099,Puente río Yelcho,08/01/26,puente.yelcho.jpeg,
